time,gFx,gFy,gFz,TgF
0.001913334,-0.0492,-0.0027,1.0262,1.027
0.002399792,-0.0492,-0.0022,1.0260,1.027
0.002700625,-0.0492,-0.0022,1.0262,1.027
0.002997604,-0.0492,-0.0017,1.0264,1.028
0.004885469,-0.0494,-0.0014,1.0262,1.027
0.005180157,-0.0494,-0.0009,1.0257,1.027
0.008067448,-0.0489,-0.0004,1.0255,1.027
0.008358802,-0.0484,-0.0002,1.0255,1.027
0.009648438,-0.0482,0.0001,1.0260,1.027
0.014058386,-0.0482,0.0006,1.0262,1.027
0.014303073,-0.0482,0.0008,1.0264,1.028
0.016191198,-0.0482,0.0011,1.0264,1.028
0.01876849,-0.0479,0.0013,1.0262,1.027
0.020236615,-0.0477,0.0018,1.0262,1.027
0.022547969,-0.0475,0.0018,1.0262,1.027
0.024801042,-0.0475,0.0021,1.0264,1.028
0.027128698,-0.0472,0.0021,1.0267,1.028
0.02858,-0.0472,0.0021,1.0270,1.028
0.031775625,-0.0472,0.0021,1.0270,1.028
0.032839323,-0.0469,0.0018,1.0267,1.028
0.035949792,-0.0469,0.0018,1.0267,1.028
0.037610313,-0.0469,0.0013,1.0270,1.028
0.039706667,-0.0469,0.0011,1.0272,1.028
0.041494688,-0.0469,0.0006,1.0270,1.028
0.043863542,-0.0465,0.0003,1.0270,1.028
0.046743646,-0.0465,-0.0004,1.0272,1.028
0.048174948,-0.0467,-0.0009,1.0274,1.029
0.049635209,-0.0469,-0.0017,1.0274,1.029
0.052495313,-0.0469,-0.0024,1.0270,1.028
0.05371375,-0.0469,-0.0029,1.0267,1.028
0.055711563,-0.0472,-0.0032,1.0270,1.028
0.057694688,-0.0482,-0.0032,1.0272,1.028
0.060419636,-0.0492,-0.0032,1.0277,1.029
0.062440782,-0.0502,-0.0032,1.0274,1.029
0.064760104,-0.0509,-0.0032,1.0270,1.028
0.067556042,-0.0514,-0.0032,1.0267,1.028
0.069839219,-0.0517,-0.0029,1.0267,1.028
0.07115224,-0.0514,-0.0027,1.0267,1.028
0.073119479,-0.0512,-0.0024,1.0270,1.028
0.075575886,-0.0512,-0.0019,1.0270,1.028
0.077672396,-0.0512,-0.0017,1.0270,1.028
0.080092761,-0.0512,-0.0014,1.0267,1.028
0.08192,-0.0512,-0.0012,1.0264,1.028
0.083929792,-0.0512,-0.0012,1.0262,1.027
0.085420886,-0.0514,-0.0009,1.0264,1.028
0.087721719,-0.0517,-0.0007,1.0267,1.028
0.093446094,-0.0514,-0.0004,1.0264,1.028
0.095014375,-0.0507,-0.0002,1.0260,1.027
0.096868438,-0.0499,-0.0002,1.0257,1.027
0.097476511,-0.0492,-0.0002,1.0257,1.027
0.098110677,-0.0487,0.0001,1.0262,1.027
0.099390261,-0.0482,0.0001,1.0264,1.028
0.102069479,-0.0475,0.0003,1.0262,1.027
0.104253542,-0.0469,0.0003,1.0262,1.027
0.107091563,-0.0479,0.0008,1.0264,1.028
0.108366667,-0.0494,0.0006,1.0272,1.028
0.110269115,-0.0489,-0.0004,1.0285,1.030
0.111889011,-0.0460,-0.0012,1.0287,1.030
0.114620834,-0.0430,-0.0014,1.0272,1.028
0.117007031,-0.0422,-0.0019,1.0260,1.027
0.119986042,-0.0425,-0.0022,1.0264,1.027
0.121524479,-0.0427,-0.0027,1.0272,1.028
0.12485474,-0.0427,-0.0029,1.0279,1.029
0.125913698,-0.0427,-0.0032,1.0285,1.029
0.128041771,-0.0430,-0.0034,1.0282,1.029
0.129760834,-0.0432,-0.0034,1.0277,1.029
0.132048698,-0.0437,-0.0032,1.0272,1.028
0.133727396,-0.0439,-0.0032,1.0272,1.028
0.136112709,-0.0442,-0.0032,1.0274,1.028
0.138428334,-0.0445,-0.0032,1.0277,1.029
0.140653334,-0.0447,-0.0032,1.0277,1.029
0.142696302,-0.0447,-0.0029,1.0274,1.028
0.143359271,-0.0450,-0.0029,1.0270,1.028
0.147166511,-0.0457,-0.0027,1.0267,1.028
0.148686719,-0.0462,-0.0024,1.0270,1.028
0.1512775,-0.0467,-0.0024,1.0272,1.028
0.153048334,-0.0472,-0.0019,1.0270,1.028
0.155094323,-0.0477,-0.0017,1.0264,1.028
0.156679063,-0.0484,-0.0014,1.0262,1.027
0.158694531,-0.0494,-0.0014,1.0267,1.028
0.161234792,-0.0502,-0.0012,1.0270,1.028
0.163347813,-0.0502,-0.0012,1.0270,1.028
0.164998594,-0.0502,-0.0012,1.0270,1.028
0.166573802,-0.0504,-0.0009,1.0272,1.028
0.169524792,-0.0507,-0.0009,1.0272,1.028
0.171477709,-0.0507,-0.0007,1.0262,1.027
0.173687917,-0.0504,-0.0007,1.0260,1.027
0.176032604,-0.0499,-0.0007,1.0267,1.028
0.177690729,-0.0489,-0.0004,1.0274,1.029
0.180571459,-0.0484,-0.0004,1.0282,1.029
0.181871094,-0.0482,-0.0004,1.0287,1.030
0.184148906,-0.0479,-0.0007,1.0285,1.030
0.185937292,-0.0472,-0.0007,1.0277,1.029
0.188274063,-0.0467,-0.0009,1.0272,1.028
0.190728021,-0.0460,-0.0012,1.0272,1.028
0.194680104,-0.0452,-0.0017,1.0272,1.028
0.196032344,-0.0447,-0.0017,1.0274,1.028
0.197201511,-0.0442,-0.0019,1.0277,1.029
0.198651563,-0.0439,-0.0022,1.0277,1.029
0.201056927,-0.0437,-0.0024,1.0274,1.028
0.20368474,-0.0430,-0.0027,1.0274,1.028
0.204284323,-0.0430,-0.0024,1.0274,1.028
0.206913959,-0.0432,-0.0027,1.0277,1.029
0.208755104,-0.0439,-0.0027,1.0279,1.029
0.211125209,-0.0447,-0.0024,1.0279,1.029
0.214170156,-0.0450,-0.0022,1.0277,1.029
0.2153025,-0.0452,-0.0019,1.0274,1.028
0.217717552,-0.0457,-0.0017,1.0277,1.029
0.219117761,-0.0462,-0.0017,1.0279,1.029
0.221495834,-0.0469,-0.0014,1.0279,1.029
0.223160521,-0.0472,-0.0012,1.0274,1.029
0.225605781,-0.0472,-0.0012,1.0262,1.027
0.228276406,-0.0477,-0.0012,1.0255,1.027
0.230131979,-0.0482,-0.0007,1.0255,1.027
0.232372188,-0.0484,-0.0007,1.0260,1.027
0.234957188,-0.0487,-0.0007,1.0260,1.027
0.237499584,-0.0492,-0.0007,1.0260,1.027
0.241178906,-0.0499,-0.0007,1.0260,1.027
0.241762761,-0.0509,-0.0007,1.0260,1.027
0.243255886,-0.0517,-0.0009,1.0260,1.027
0.245199531,-0.0524,-0.0009,1.0260,1.027
0.247627552,-0.0532,-0.0009,1.0257,1.027
0.250297136,-0.0537,-0.0009,1.0255,1.027
0.251881042,-0.0542,-0.0012,1.0257,1.027
0.252484063,-0.0542,-0.0014,1.0262,1.028
0.255205573,-0.0537,-0.0014,1.0267,1.028
0.257518281,-0.0534,-0.0017,1.0267,1.028
0.259915417,-0.0532,-0.0019,1.0267,1.028
0.263178594,-0.0524,-0.0022,1.0264,1.028
0.264143646,-0.0514,-0.0022,1.0262,1.027
0.266895781,-0.0504,-0.0022,1.0262,1.027
0.267961198,-0.0502,-0.0022,1.0264,1.028
0.269871198,-0.0507,-0.0022,1.0270,1.028
0.272181719,-0.0507,-0.0022,1.0270,1.028
0.274035834,-0.0504,-0.0019,1.0264,1.028
0.276017396,-0.0499,-0.0017,1.0262,1.027
0.277542188,-0.0502,-0.0017,1.0267,1.028
0.280914584,-0.0507,-0.0017,1.0272,1.028
0.282794011,-0.0509,-0.0017,1.0272,1.028
0.284978021,-0.0504,-0.0014,1.0267,1.028
0.287297292,-0.0499,-0.0012,1.0262,1.027
0.288920625,-0.0497,-0.0012,1.0262,1.027
0.291218802,-0.0497,-0.0009,1.0264,1.028
0.295128698,-0.0499,-0.0007,1.0267,1.028
0.296652604,-0.0497,-0.0004,1.0267,1.028
0.298734636,-0.0494,-0.0002,1.0262,1.027
0.300012917,-0.0492,0.0001,1.0257,1.027
0.301536719,-0.0492,0.0001,1.0257,1.027
0.303123854,-0.0489,0.0003,1.0262,1.027
0.305734531,-0.0484,0.0003,1.0267,1.028
0.307847709,-0.0487,0.0006,1.0270,1.028
0.310396198,-0.0489,0.0008,1.0270,1.028
0.311482604,-0.0489,0.0011,1.0272,1.028
0.314348594,-0.0484,0.0011,1.0274,1.029
0.315370834,-0.0482,0.0011,1.0279,1.029
0.318326875,-0.0479,0.0011,1.0282,1.029
0.320559688,-0.0479,0.0008,1.0285,1.030
0.322684219,-0.0477,0.0008,1.0279,1.029
0.325514323,-0.0467,0.0006,1.0277,1.029
0.327392709,-0.0462,0.0003,1.0274,1.028
0.328676615,-0.0460,0.0003,1.0274,1.028
0.330765209,-0.0462,0.0001,1.0272,1.028
0.332139479,-0.0462,0.0001,1.0272,1.028
0.334279948,-0.0465,-0.0002,1.0270,1.028
0.336819583,-0.0469,-0.0002,1.0270,1.028
0.340119896,-0.0475,-0.0002,1.0272,1.028
0.341678438,-0.0484,-0.0004,1.0272,1.028
0.3439125,-0.0492,-0.0007,1.0270,1.028
0.345683646,-0.0499,-0.0007,1.0270,1.028
0.3481025,-0.0504,-0.0007,1.0267,1.028
0.350450313,-0.0509,-0.0007,1.0267,1.028
0.352382865,-0.0509,-0.0007,1.0267,1.028
0.354506511,-0.0509,-0.0007,1.0270,1.028
0.356766094,-0.0507,-0.0004,1.0267,1.028
0.357337188,-0.0504,-0.0004,1.0264,1.028
0.359986354,-0.0499,-0.0002,1.0264,1.028
0.362427708,-0.0497,-0.0002,1.0264,1.028
0.364477708,-0.0492,-0.0002,1.0264,1.028
0.366667656,-0.0487,0.0001,1.0262,1.027
0.368898594,-0.0487,0.0001,1.0264,1.028
0.3712025,-0.0492,0.0001,1.0267,1.028
0.372809115,-0.0494,0.0001,1.0267,1.028
0.375136875,-0.0494,0.0001,1.0262,1.027
0.37734724,-0.0492,0.0001,1.0260,1.027
0.379414583,-0.0494,0.0001,1.0262,1.027
0.381959271,-0.0494,-0.0002,1.0264,1.028
0.384584167,-0.0492,-0.0002,1.0264,1.028
0.386254375,-0.0484,-0.0004,1.0264,1.028
0.386917188,-0.0479,-0.0007,1.0260,1.027
0.388695886,-0.0477,-0.0012,1.0255,1.027
0.391516302,-0.0475,-0.0017,1.0252,1.026
0.395204531,-0.0469,-0.0019,1.0252,1.026
0.397761146,-0.0465,-0.0022,1.0252,1.026
0.39828474,-0.0465,-0.0024,1.0257,1.027
0.400227136,-0.0467,-0.0027,1.0264,1.028
0.402171094,-0.0472,-0.0029,1.0270,1.028
0.40483224,-0.0475,-0.0032,1.0274,1.029
0.407925208,-0.0475,-0.0032,1.0279,1.029
0.409176823,-0.0469,-0.0034,1.0282,1.029
0.411458958,-0.0462,-0.0039,1.0287,1.030
0.412554115,-0.0460,-0.0047,1.0294,1.030
0.414934219,-0.0460,-0.0054,1.0302,1.031
0.417333802,-0.0422,-0.0074,1.0307,1.032
0.419147552,-0.0353,-0.0101,1.0307,1.031
0.420057813,-0.0313,-0.0106,1.0302,1.031
0.422463958,-0.0345,-0.0096,1.0300,1.031
0.424868281,-0.0427,-0.0074,1.0314,1.032
0.427187292,-0.0502,-0.0047,1.0337,1.035
0.429474375,-0.0544,-0.0022,1.0349,1.036
